Iteration	static	induced
10	0.0249	0.0504
20	0.0221	0.0477
30	0.0213	0.0469
40	0.0209	0.0463
50	0.0207	0.0459
60	0.0206	0.0457
70	0.0205	0.0455
80	0.0205	0.0453
90	0.0205	0.0452
100	0.0204	0.0450
110	0.0204	0.0448
120	0.0204	0.0447
130	0.0204	0.0446
140	0.0204	0.0444
150	0.0204	0.0443
160	0.0204	0.0442
170	0.0204	0.0441
180	0.0204	0.0441
190	0.0204	0.0440
200	0.0204	0.0439
210	0.0204	0.0439
220	0.0204	0.0438
230	0.0204	0.0438
240	0.0204	0.0437
250	0.0203	0.0437
260	0.0203	0.0436
270	0.0203	0.0436
280	0.0203	0.0436
290	0.0203	0.0436
300	0.0203	0.0436
310	0.0203	0.0435
320	0.0203	0.0435
330	0.0203	0.0435
340	0.0203	0.0435
350	0.0203	0.0435
360	0.0203	0.0435
370	0.0203	0.0435
380	0.0203	0.0435
390	0.0203	0.0435
400	0.0203	0.0435
410	0.0203	0.0435
420	0.0203	0.0435
430	0.0203	0.0435
440	0.0203	0.0435
450	0.0202	0.0435
460	0.0202	0.0435
470	0.0202	0.0435
480	0.0202	0.0435
490	0.0202	0.0435
500	0.0202	0.0435
510	0.0202	0.0435
520	0.0202	0.0435
530	0.0202	0.0435
540	0.0202	0.0435
550	0.0202	0.0435
560	0.0202	0.0435
570	0.0202	0.0435
580	0.0202	0.0435
590	0.0202	0.0435
600	0.0201	0.0435
610	0.0201	0.0435
620	0.0201	0.0435
630	0.0201	0.0435
640	0.0201	0.0435
650	0.0201	0.0435
660	0.0201	0.0435
670	0.0201	0.0434
680	0.0201	0.0434
690	0.0201	0.0434
700	0.0201	0.0434
710	0.0201	0.0434
720	0.0201	0.0434
730	0.0201	0.0434
740	0.0200	0.0434
750	0.0200	0.0434
760	0.0200	0.0434
770	0.0200	0.0434
780	0.0200	0.0434
790	0.0200	0.0434
800	0.0200	0.0434
810	0.0200	0.0434
820	0.0200	0.0434
830	0.0200	0.0434
840	0.0200	0.0434
850	0.0200	0.0434
860	0.0199	0.0434
870	0.0199	0.0434
880	0.0199	0.0434
890	0.0199	0.0434
900	0.0199	0.0434
910	0.0199	0.0434
920	0.0199	0.0434
930	0.0199	0.0434
940	0.0199	0.0434
950	0.0199	0.0434
960	0.0199	0.0434
970	0.0198	0.0434
980	0.0198	0.0434
990	0.0198	0.0434
1000	0.0198	0.0434
